file,nuclei_res/diploids | Count,nuclei_res/tetraploids | Count,line,rtet,rtot,plate
B1.fcs,17032,741,A,0,28,1
B2.fcs,12867,1035,A,1,28,1
B3.fcs,14764,1951,A,2,28,1
B4.fcs,12728,3028,A,3,28,1
B5.fcs,11182,2291,A,4,28,1
B6.fcs,12479,4254,A,5,28,1
B7.fcs,12442,6637,A,6,28,1
B8.fcs,8895,3564,A,7,28,1
B9.fcs,9164,5088,A,8,28,1
B10.fcs,3474,3463,A,10,28,1
B11.fcs,7117,5954,A,12,28,1
B12.fcs,7674,10381,A,14,28,1
C1.fcs,3530,7543,A,16,28,1
C2.fcs,1214,2424,A,18,28,1
C3.fcs,1173,3708,A,20,28,1
C4.fcs,1110,4158,A,21,28,1
C5.fcs,1690,7554,A,22,28,1
C6.fcs,1526,6076,A,23,28,1
C7.fcs,1018,6511,A,24,28,1
C8.fcs,817,5581,A,25,28,1
C9.fcs,1062,9769,A,26,28,1
C10.fcs,1156,8201,A,27,28,1
C11.fcs,813,5645,A,28,28,1
D1.fcs,10542,585,B,0,28,1
D2.fcs,10747,1734,B,1,28,1
D3.fcs,6636,1191,B,2,28,1
D4.fcs,7917,2456,B,3,28,1
D5.fcs,5695,2068,B,4,28,1
D6.fcs,5048,2443,B,5,28,1
D7.fcs,8984,2456,B,6,28,1
D8.fcs,4844,2828,B,7,28,1
D9.fcs,12354,5846,B,8,28,1
D10.fcs,3523,2009,B,10,28,1
D11.fcs,2251,1381,B,12,28,1
D12.fcs,5328,5800,B,14,28,1
E1.fcs,3138,4953,B,16,28,1
E2.fcs,3460,6083,B,18,28,1
E3.fcs,4060,8104,B,20,28,1
E4.fcs,2632,7259,B,21,28,1
E5.fcs,1649,7167,B,22,28,1
E6.fcs,1236,6886,B,23,28,1
E7.fcs,2330,9937,B,24,28,1
E8.fcs,1492,7070,B,25,28,1
E9.fcs,838,4496,B,26,28,1
E10.fcs,1016,8148,B,27,28,1
E11.fcs,638,7745,B,28,28,1
B1.fcs,17852,957,C,0,28,2
B10.fcs,10944,8733,C,10,28,2
B11.fcs,10843,11374,C,12,28,2
B12.fcs,1704,6183,C,14,28,2
B2.fcs,12065,1314,C,1,28,2
B3.fcs,13081,2326,C,2,28,2
B4.fcs,13120,3152,C,3,28,2
B5.fcs,9399,3608,C,4,28,2
B6.fcs,8024,4136,C,5,28,2
B7.fcs,5158,3309,C,6,28,2
B8.fcs,3960,3261,C,7,28,2
B9.fcs,6297,5762,C,8,28,2
C1.fcs,2113,5422,C,16,28,2
C10.fcs,922,12623,C,27,28,2
C11.fcs,553,11130,C,28,28,2
C2.fcs,1519,4141,C,18,28,2
C3.fcs,1222,4805,C,20,28,2
C4.fcs,1273,4932,C,21,28,2
C5.fcs,1358,6908,C,22,28,2
C6.fcs,1675,8198,C,23,28,2
C7.fcs,1687,9633,C,24,28,2
C8.fcs,1101,9499,C,25,28,2
C9.fcs,485,6611,C,26,28,2
D1.fcs,16988,1465,D,0,28,2
D10.fcs,4598,3361,D,10,28,2
D11.fcs,5300,4886,D,12,28,2
D12.fcs,6209,5369,D,14,28,2
D2.fcs,12736,1374,D,1,28,2
D3.fcs,18633,1898,D,2,28,2
D4.fcs,14463,2074,D,3,28,2
D5.fcs,3812,1013,D,4,28,2
D6.fcs,5800,2010,D,5,28,2
D7.fcs,4896,2006,D,6,28,2
D8.fcs,4080,2170,D,7,28,2
D9.fcs,6593,3573,D,8,28,2
E1.fcs,7973,6108,D,16,28,2
E10.fcs,669,5328,D,27,28,2
E11.fcs,513,4631,D,28,28,2
E2.fcs,3445,5120,D,18,28,2
E3.fcs,1754,2416,D,20,28,2
E4.fcs,6563,7558,D,21,28,2
E5.fcs,2420,8479,D,22,28,2
E6.fcs,4770,11137,D,23,28,2
E7.fcs,1063,4394,D,24,28,2
E8.fcs,812,5889,D,25,28,2
E9.fcs,1406,7312,D,26,28,2
